,codigo_municipio,ano,dado_identificador,valor,tipo_dado
0,1100072,2015,PIB TOTAL,190906000.0,float
1,1100072,2016,PIB TOTAL,236624000.0,float
2,1100072,2017,PIB TOTAL,332804000.0,float
3,1100072,2018,PIB TOTAL,320416000.0,float
4,1100072,2019,PIB TOTAL,349289000.0,float
5,1100072,2020,PIB TOTAL,268353000.0,float
6,1100072,2021,PIB TOTAL,396728000.0,float
7,1100023,2015,PIB TOTAL,2037799000.0,float
8,1100023,2016,PIB TOTAL,2184346000.0,float
9,1100023,2017,PIB TOTAL,2287910000.0,float
10,1100023,2018,PIB TOTAL,2464704000.0,float
11,1100023,2019,PIB TOTAL,2579278000.0,float
12,1100023,2020,PIB TOTAL,2817331000.0,float
13,1100023,2021,PIB TOTAL,3209761000.0,float
14,1100072,2015,PIB AGROPECUARIA,96286000.0,float
15,1100072,2016,PIB AGROPECUARIA,132177000.0,float
16,1100072,2017,PIB AGROPECUARIA,227123000.0,float
17,1100072,2018,PIB AGROPECUARIA,212545000.0,float
18,1100072,2019,PIB AGROPECUARIA,238296000.0,float
19,1100072,2020,PIB AGROPECUARIA,155648000.0,float
20,1100072,2021,PIB AGROPECUARIA,260728000.0,float
21,1100023,2015,PIB AGROPECUARIA,129657000.0,float
22,1100023,2016,PIB AGROPECUARIA,145069000.0,float
23,1100023,2017,PIB AGROPECUARIA,165217000.0,float
24,1100023,2018,PIB AGROPECUARIA,163121000.0,float
25,1100023,2019,PIB AGROPECUARIA,170831000.0,float
26,1100023,2020,PIB AGROPECUARIA,199723000.0,float
27,1100023,2021,PIB AGROPECUARIA,293001000.0,float
28,1100072,2015,PIB INDUSTRIA,9287000.0,float
29,1100072,2016,PIB INDUSTRIA,10055000.0,float
30,1100072,2017,PIB INDUSTRIA,10270000.0,float
31,1100072,2018,PIB INDUSTRIA,9813000.0,float
32,1100072,2019,PIB INDUSTRIA,8466000.0,float
33,1100072,2020,PIB INDUSTRIA,10846000.0,float
34,1100072,2021,PIB INDUSTRIA,14003000.0,float
35,1100023,2015,PIB INDUSTRIA,320017000.0,float
36,1100023,2016,PIB INDUSTRIA,354287000.0,float
37,1100023,2017,PIB INDUSTRIA,326362000.0,float
38,1100023,2018,PIB INDUSTRIA,341001000.0,float
39,1100023,2019,PIB INDUSTRIA,284066000.0,float
40,1100023,2020,PIB INDUSTRIA,404715000.0,float
41,1100023,2021,PIB INDUSTRIA,406329000.0,float
42,1100072,2015,PIB SERVICOS,26348000.0,float
43,1100072,2016,PIB SERVICOS,30225000.0,float
44,1100072,2017,PIB SERVICOS,27788000.0,float
45,1100072,2018,PIB SERVICOS,30557000.0,float
46,1100072,2019,PIB SERVICOS,33376000.0,float
47,1100072,2020,PIB SERVICOS,34753000.0,float
48,1100072,2021,PIB SERVICOS,45391000.0,float
49,1100023,2015,PIB SERVICOS,846188000.0,float
50,1100023,2016,PIB SERVICOS,879555000.0,float
51,1100023,2017,PIB SERVICOS,930388000.0,float
52,1100023,2018,PIB SERVICOS,1034088000.0,float
53,1100023,2019,PIB SERVICOS,1136245000.0,float
54,1100023,2020,PIB SERVICOS,1206982000.0,float
55,1100023,2021,PIB SERVICOS,1307930000.0,float
56,1100072,2015,PIB ADMINISTRACAO PUBLICA,50863000.0,float
57,1100072,2016,PIB ADMINISTRACAO PUBLICA,55419000.0,float
58,1100072,2017,PIB ADMINISTRACAO PUBLICA,57591000.0,float
59,1100072,2018,PIB ADMINISTRACAO PUBLICA,57122000.0,float
60,1100072,2019,PIB ADMINISTRACAO PUBLICA,58603000.0,float
61,1100072,2020,PIB ADMINISTRACAO PUBLICA,56907000.0,float
62,1100072,2021,PIB ADMINISTRACAO PUBLICA,60535000.0,float
63,1100023,2015,PIB ADMINISTRACAO PUBLICA,524470000.0,float
64,1100023,2016,PIB ADMINISTRACAO PUBLICA,588975000.0,float
65,1100023,2017,PIB ADMINISTRACAO PUBLICA,634591000.0,float
66,1100023,2018,PIB ADMINISTRACAO PUBLICA,674541000.0,float
67,1100023,2019,PIB ADMINISTRACAO PUBLICA,703757000.0,float
68,1100023,2020,PIB ADMINISTRACAO PUBLICA,710266000.0,float
69,1100023,2021,PIB ADMINISTRACAO PUBLICA,782306000.0,float
70,1100072,2010,População total estimada do município,8783.0,int
71,1100072,2022,População total estimada do município,7519.0,int
72,1100023,2010,População total estimada do município,90353.0,int
73,1100023,2022,População total estimada do município,96833.0,int
